Power    Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
10.9784  0.735583  0.181422  0.000000  294490     0          7896        0           305266     1679180      293604     1
10.9938  0.389246  0.095617  0.000000  294894     0          7950        0           305759     2423308      293841     1
11.0250  0.261050  0.064128  0.000000  293239     0          8063        0           304210     2407528      292179     1
11.0526  0.197167  0.048370  0.000000  295533     0          8278        0           306762     2406550      294385     1
