Power   Total_NG  CPU_NG     PIM_NG     CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.8272  81.1357   14.250304  14.781517  362        222027754  310         400         118304833  159042       240824395  12601
7.8272  49.3533   8.668034   8.991165   103        134987255  118         487         71954733   174084       292820532  12601
7.8291  34.9706   6.149478   6.369136   52         95556356   94          448         50957318   172973       311130554  12601
7.8301  27.2616   4.796893   4.964313   28         74424839   64          439         39706693   183204       323006521  12601
