Total          mcpat_ng       activ/rw/pre    refresh        background     sim_seconds  num_reads    num_writes
117.157400085  26.6168829581  0.231977028708  5.93676335088  84.371776747   9.86224      222584320.0  715.0
156.535475028  16.1576709369  0.368947295522  9.20258148925  130.806275306  5.98599      135096622.0  608.0
186.836592698  11.377030226   0.465218677268  11.5015050107  163.492838784  4.21286      95051810.0   549.0
211.856897754  8.91622718027  0.540535615314  13.3023741537  189.097760804  3.30006      74424867.0   498.0
