Total          mcpat_ng       activ/rw/pre   refresh        background     sim_seconds  num_reads    num_writes
104.950744862  39.7833465121  0.701511729    4.2598557911   60.2060308301  14.7466      139630122.0  84403.0
117.550214725  20.4131827691  1.35143850187  6.32732306977  89.458270384   7.56417      129670952.0  78801.0
132.190495907  13.5738043056  1.96918076926  7.70317530747  108.944335525  5.02827      123225692.0  76275.0
146.20805902   10.6297542414  2.57065794577  8.78132356903  124.226323263  3.93657      119962116.0  76381.0
