Power    Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
10.9583  1.9073    0.470681  0.000000  270381     0          9593        0           283301     2431871      269523     1
10.9554  1.8255    0.450034  0.000000  273074     0          10737       0           287587     2403953      272017     1
10.9582  1.7758    0.438073  0.000000  272322     0          11131       0           287322     2371616      271129     1
10.9592  1.7548    0.432990  0.000000  273523     0          12116       0           289826     2380600      272153     1
