Power    Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
10.9662  1.1253    0.277663  0.000000  269245     0          9226        0           281695     2375241      268461     1
10.9733  0.7544    0.185934  0.000000  271439     0          10202       0           285234     2284120      270457     1
10.9781  0.6268    0.154431  0.000000  271644     0          10598       0           285909     2259569      270503     1
10.9822  0.5653    0.139298  0.000000  270962     0          11180       0           285943     2226938      269595     1
