Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.8073  0.7383    0.130124  0.131391  257        2933904    229         6287        1187239    6840         1830346    127721
7.8522  0.4742    0.083052  0.084638  69         2930426    94          6440        1189456    8743         2378434    127669
7.8775  0.4006    0.070030  0.071588  68         2929835    127         6251        1189084    10086        3042591    127672
7.8914  0.3680    0.064249  0.065809  55         2927568    93          5827        1189201    12643        3734599    127668
