Power    Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
10.9632  1.3066    0.322388  0.000000  269932     0          9330        0           282568     1630381      269123     1
10.9655  1.0617    0.261821  0.000000  272023     0          10342       0           286079     2322474      270997     1
10.9673  0.9835    0.242503  0.000000  274216     0          11089       0           289156     2305346      273039     1
10.9689  0.9335    0.230186  0.000000  272867     0          11670       0           288582     2276104      271474     1
