Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.8173  0.8938    0.157319  0.160728  254        3145084    198         6227        1268381    7191         2254719    127721
7.8361  0.7245    0.126976  0.130814  77         3149665    93          6345        1281738    9186         3740950    127669
7.8458  0.6885    0.120839  0.124379  69         3151370    113         6211        1286129    12008        5390299    127672
7.8498  0.6699    0.117573  0.121068  52         3147986    95          5935        1287303    15048        7026211    127668
