Power   Total_NG  CPU_NG     PIM_NG     CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.8099  91.9887   16.193227  16.707555  362        222027754  309         400         222002306  179517       273645799  12601
7.8097  55.9336   9.845315   10.159203  104        134987255  118         487         134972831  197028       332609013  12601
7.8121  39.6190   6.983633   7.193729   49         95556356   93          448         95548209   194541       353266114  12601
7.8128  30.8698   5.443826   5.604508   39         74424839   67          439         74417610   204672       366579339  12601
