Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.7365  0.0117    0.002080  0.002071  44         3072       31          3072        1464       1149         16667      9223
7.7414  0.0059    0.001052  0.001048  9          3072       15          3072        758        1643         16480      9233
7.7362  0.0043    0.000768  0.000766  19         3072       32          3072        614        2827         17345      9240
7.7498  0.0039    0.000685  0.000682  35         3072       33          3072        519        4142         18128      9246
