Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.7297  0.0118    0.002105  0.002089  47         3072       34          3072        1483       1124         16981      9241
7.7261  0.0063    0.001114  0.001107  12         3072       27          3072        804        2984         17140      9251
7.7343  0.0044    0.000781  0.000774  17         3072       31          3072        621        2808         17945      9261
7.7382  0.0039    0.000697  0.000691  34         3072       28          3072        514        4187         18407      9269
