Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.7362  1.4838    0.263912  0.262730  10805      393216     6938        393216      231238     22698        2162955    1179651
7.7401  0.7393    0.131378  0.130984  10553      393216     6679        393216      132462     24248        2147139    1179653
7.7450  0.5098    0.090634  0.090353  10723      393216     6772        393216      102393     33623        2255910    1179665
7.7490  0.3955    0.070315  0.070125  10768      393216     6672        393216      87128      36310        2371481    1179659
