Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.7331  1.5024    0.267325  0.265535  10788      393216     6928        393216      233863     22780        2207382    1179657
7.7335  0.7554    0.134360  0.133321  10530      393216     6640        393216      134518     24118        2226237    1179670
7.7375  0.5173    0.092060  0.091283  10627      393216     6715        393216      103223     33063        2312695    1179664
7.7396  0.4004    0.071275  0.070600  10773      393216     6681        393216      87845      37140        2419797    1179680
