Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.6846  5.4011    1.898933  0.000000  63253      0          51171       0           132255     865872       38331      1
7.6848  4.6327    1.628847  0.000000  55032      0          42726       0           112766     977662       39372      1
7.6855  4.0990    1.441342  0.000000  55649      0          44929       0           116371     776694       49224      1
7.6863  4.0500    1.424265  0.000000  66954      0          55041       0           141403     739134       56802      1
