Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.6883  1.2622    0.443769  0.000000  63075      0          29502       0           103171     216214       38167      1
7.6898  0.6517    0.228958  0.000000  64519      0          30004       0           105384     285730       39464      1
7.6927  0.5814    0.204326  0.000000  63549      0          30007       0           104371     425007       38512      1
7.6933  0.5593    0.196584  0.000000  63620      0          30116       0           104607     538252       38516      1
