Power   Total_NG  CPU_NG    PIM_NG    CPU_reads  PIM_reads  CPU_writes  PIM_writes  Acts/Pres  L2_accesses  readsFrmP  writesToP
7.6844  8.0914    2.844985  0.000000  63227      0          50977       0           132083     729087       38297      1
7.6847  7.1181    2.502937  0.000000  57193      0          45748       0           119060     784098       37987      1
7.6851  6.1749    2.171378  0.000000  57587      0          46442       0           120318     765805       46629      1
7.6856  5.9573    2.095073  0.000000  60155      0          48652       0           126030     590820       46439      1
